Tabelle: 1000A-3022
Personen: Alter (5er-Jahresgruppen) - Familienstand (ausführlich)/Familienstand - Geschlecht;;;;;;;;;;;;;;;;;;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Deutschland;;01 Schleswig-Holstein;;02 Hamburg;;03 Niedersachsen;;04 Bremen;;05 Nordrhein-Westfalen;;06 Hessen;;07 Rheinland-Pfalz;;08 Baden-Württemberg;;09 Bayern;;10 Saarland;;11 Berlin;;12 Brandenburg;;13 Mecklenburg-Vorpommern;;14 Sachsen;;15 Sachsen-Anhalt;;16 Thüringen;
;;Weiblich;704309;e;27799;e;11592;e;69153;e;5230;e;141436;e;48955;e;33474;e;93056;e;102698;e;8378;e;25671;e;27202;e;16169;e;46719;e;23823;e;22948;e
;Verwitwet;Insgesamt;1299069;e;49300;e;21444;e;129540;e;9917;e;277462;e;89009;e;63463;e;155152;e;190119;e;18528;e;45543;e;48259;e;31147;e;79837;e;46696;e;43646;e
;;Männlich;262328;e;10773;e;4409;e;26665;e;2126;e;55282;e;17722;e;12693;e;31101;e;37273;e;3732;e;9465;e;10055;e;6247;e;16121;e;9668;e;8998;e
;;Weiblich;1036743;e;38524;e;17039;e;102877;e;7789;e;222179;e;71289;e;50766;e;124053;e;152845;e;14797;e;36078;e;38207;e;24902;e;63718;e;37026;e;34650;e
;Geschieden;Insgesamt;251789;e;11321;e;8276;e;22730;e;2963;e;49123;e;17581;e;10123;e;29991;e;35833;e;2843;e;18414;e;9125;e;5507;e;13887;e;7154;e;6918;e
;;Männlich;83486;e;3951;e;2463;e;8173;e;961;e;16591;e;5880;e;3703;e;10189;e;12370;e;1038;e;5540;e;2907;e;1590;e;3989;e;2109;e;2028;e
;;Weiblich;168303;e;7372;e;5812;e;14560;e;2000;e;32536;e;11699;e;6418;e;19800;e;23460;e;1803;e;12878;e;6217;e;3919;e;9896;e;5044;e;4892;e
;Eingetragene Lebenspartnerschaften;Insgesamt;1284;e;67;e;66;e;85;e;7;e;280;e;90;e;43;e;137;e;183;e;24;e;196;e;32;e;19;e;43;e;11;e;10;e
;;Männlich;823;e;34;e;45;e;45;e;4;e;176;e;55;e;29;e;82;e;121;e;15;e;136;e;25;e;6;e;30;e;6;e;7;e
;;Weiblich;465;e;31;e;18;e;37;e;-;;106;e;37;e;15;e;52;e;61;e;8;e;62;e;4;e;11;e;11;e;5;e;5;e
;Eingetr. Lebenspartner/-in verstorben;Insgesamt;533;e;26;e;30;e;47;e;5;e;113;e;59;e;24;e;33;e;70;e;9;e;70;e;13;e;9;e;19;e;8;e;4;e
;;Männlich;327;e;18;e;22;e;30;e;-;;71;e;33;e;13;e;14;e;43;e;4;e;42;e;11;e;7;e;5;e;10;e;4;e
;;Weiblich;206;e;6;e;7;e;18;e;3;e;42;e;27;e;8;e;18;e;28;e;4;e;27;e;-;;5;e;11;e;3;e;-;
;Eingetragene Lebenspartnerschaft aufgehoben;Insgesamt;65;e;-;;6;e;9;e;3;e;7;e;3;e;4;e;4;e;4;e;3;e;18;e;-;;-;;-;;-;;-;
;;Männlich;54;e;-;;5;e;6;e;3;e;4;e;3;e;3;e;4;e;4;e;3;e;15;e;-;;-;;-;;-;;-;
;;Weiblich;8;e;-;;3;e;-;;-;;-;;-;;-;;-;;-;;-;;4;e;-;;-;;-;;-;;-;
;Ohne Angabe;Insgesamt;3385;e;132;e;193;e;351;e;6;e;956;e;452;e;258;e;266;e;232;e;42;e;80;e;76;e;42;e;178;e;65;e;57;e
;;Männlich;957;e;42;e;61;e;75;e;6;e;287;e;140;e;62;e;68;e;67;e;20;e;15;e;15;e;16;e;47;e;13;e;19;e
;;Weiblich;2430;e;89;e;134;e;275;e;3;e;668;e;310;e;194;e;196;e;167;e;24;e;62;e;60;e;30;e;129;e;49;e;40;e
85 bis 89 Jahre;Insgesamt;Insgesamt;1804095;e;67059;e;33472;e;176153;e;14275;e;387087;e;125805;e;89140;e;232470;e;258888;e;24765;e;68186;e;64609;e;41481;e;110373;e;57433;e;52898;e
;;Männlich;666342;e;25465;e;11932;e;65334;e;5054;e;141711;e;47484;e;33559;e;89716;e;96267;e;8919;e;24794;e;23398;e;14440;e;39876;e;19664;e;18721;e
;;Weiblich;1137755;e;41595;e;21541;e;110816;e;9217;e;245374;e;78318;e;55582;e;142753;e;162619;e;15844;e;43390;e;41215;e;27042;e;70500;e;37766;e;34177;e
;Ledig;Insgesamt;68405;e;2283;e;1854;e;5688;e;580;e;14127;e;4148;e;3298;e;9765;e;12282;e;906;e;3530;e;1749;e;1374;e;3612;e;1665;e;1552;e
;;Männlich;19845;e;766;e;500;e;2011;e;155;e;4302;e;1356;e;1115;e;2814;e;3767;e;312;e;943;e;408;e;299;e;553;e;295;e;247;e
;;Weiblich;48561;e;1513;e;1352;e;3677;e;422;e;9828;e;2791;e;2185;e;6948;e;8514;e;591;e;2588;e;1337;e;1072;e;3061;e;1371;e;1304;e
;Verheiratet;Insgesamt;643815;e;24433;e;11224;e;62861;e;4992;e;134943;e;45638;e;31938;e;89044;e;92169;e;8201;e;23790;e;23238;e;13857;e;40470;e;19091;e;17919;e
;;Männlich;421505;e;15999;e;7266;e;41191;e;3163;e;88588;e;30354;e;21154;e;58764;e;61454;e;5444;e;15214;e;14826;e;8781;e;25688;e;12135;e;11490;e
;;Weiblich;222312;e;8436;e;3960;e;21673;e;1830;e;46352;e;15286;e;10782;e;30282;e;30717;e;2761;e;8578;e;8415;e;5072;e;14780;e;6959;e;6427;e
;Verwitwet;Insgesamt;991816;e;36129;e;17021;e;98698;e;7573;e;217824;e;69255;e;49934;e;121969;e;141369;e;14576;e;33351;e;35767;e;23844;e;60156;e;33645;e;30698;e
;;Männlich;197067;e;7390;e;3223;e;19360;e;1430;e;42823;e;13775;e;10008;e;24748;e;27192;e;2811;e;6796;e;7267;e;4860;e;12386;e;6615;e;6384;e
;;Weiblich;794747;e;28736;e;13797;e;79341;e;6142;e;175003;e;55484;e;39927;e;97222;e;114180;e;11765;e;26553;e;28498;e;18981;e;47769;e;27030;e;24311;e
;Geschieden;Insgesamt;98162;e;4137;e;3247;e;8717;e;1119;e;19662;e;6490;e;3868;e;11544;e;12919;e;1055;e;7417;e;3834;e;2388;e;6061;e;2997;e;2708;e
;;Männlich;27243;e;1276;e;884;e;2724;e;295;e;5818;e;1911;e;1250;e;3345;e;3799;e;346;e;1789;e;884;e;491;e;1216;e;616;e;598;e
;;Weiblich;70916;e;2865;e;2367;e;5990;e;826;e;13843;e;4582;e;2615;e;8201;e;9118;e;710;e;5625;e;2952;e;1898;e;4843;e;2378;e;2113;e
;Eingetragene Lebenspartnerschaften;Insgesamt;335;e;8;e;21;e;25;e;8;e;79;e;27;e;9;e;39;e;43;e;-;;46;e;8;e;7;e;8;e;3;e;6;e
;;Männlich;192;e;4;e;10;e;12;e;9;e;44;e;13;e;-;;25;e;27;e;-;;32;e;5;e;4;e;9;e;-;;-;
;;Weiblich;141;e;5;e;11;e;12;e;-;;35;e;11;e;4;e;17;e;13;e;-;;17;e;-;;4;e;-;;3;e;4;e
;Eingetr. Lebenspartner/-in verstorben;Insgesamt;192;e;9;e;8;e;18;e;3;e;41;e;27;e;7;e;8;e;28;e;3;e;30;e;7;e;-;;10;e;-;;-;
;;Männlich;107;e;6;e;7;e;7;e;3;e;24;e;13;e;4;e;3;e;13;e;-;;20;e;7;e;-;;7;e;-;;-;
;;Weiblich;83;e;3;e;3;e;8;e;-;;19;e;13;e;3;e;7;e;18;e;-;;8;e;-;;3;e;4;e;-;;-;
;Eingetragene Lebenspartnerschaft aufgehoben;Insgesamt;17;e;3;e;3;e;-;;-;;-;;-;;-;;3;e;4;e;-;;-;;3;e;-;;-;;-;;-;
;;Männlich;13;e;3;e;-;;-;;-;;-;;-;;-;;-;;4;e;-;;-;;3;e;-;;-;;-;;-;
;;Weiblich;5;e;-;;-;;-;;-;;-;;-;;-;;3;e;-;;-;;-;;-;;-;;-;;-;;-;
;Ohne Angabe;Insgesamt;1354;e;64;e;94;e;142;e;3;e;409;e;216;e;89;e;96;e;72;e;22;e;24;e;11;e;12;e;57;e;30;e;17;e
;;Männlich;367;e;23;e;39;e;29;e;-;;117;e;66;e;19;e;18;e;13;e;7;e;5;e;3;e;3;e;17;e;5;e;-;
;;Weiblich;990;e;37;e;54;e;112;e;-;;294;e;152;e;69;e;81;e;55;e;15;e;21;e;9;e;11;e;39;e;26;e;15;e
90 Jahre und älter;Insgesamt;Insgesamt;841469;e;29690;e;16479;e;83263;e;6535;e;185824;e;60713;e;42916;e;109647;e;121444;e;11317;e;30250;e;27060;e;17387;e;51098;e;25040;e;22798;e
;;Männlich;236467;e;8319;e;4446;e;23123;e;1730;e;51882;e;17663;e;12225;e;32978;e;35192;e;3105;e;8321;e;7465;e;4542;e;13432;e;6167;e;5874;e
;;Weiblich;605005;e;21370;e;12030;e;60136;e;4804;e;133940;e;43056;e;30693;e;76669;e;86254;e;8217;e;21928;e;19599;e;12845;e;37664;e;18870;e;16926;e
;Ledig;Insgesamt;40091;e;1130;e;1020;e;3224;e;286;e;8635;e;2447;e;2016;e;6096;e;6940;e;534;e;1722;e;991;e;768;e;2375;e;945;e;963;e
;;Männlich;5228;e;156;e;154;e;480;e;46;e;1194;e;383;e;292;e;805;e;1000;e;90;e;227;e;102;e;46;e;133;e;49;e;64;e
;;Weiblich;34865;e;971;e;865;e;2742;e;241;e;7443;e;2066;e;1721;e;5290;e;5943;e;446;e;1491;e;891;e;720;e;2240;e;896;e;900;e
;Verheiratet;Insgesamt;145768;e;5183;e;2828;e;14044;e;1138;e;31489;e;11110;e;7463;e;21023;e;21773;e;1792;e;5503;e;4587;e;2700;e;8294;e;3497;e;3342;e
;;Männlich;106937;e;3755;e;2068;e;10286;e;832;e;23154;e;8164;e;5448;e;15580;e;16397;e;1352;e;3946;e;3305;e;1893;e;5883;e;2487;e;2392;e
;;Weiblich;38826;e;1427;e;761;e;3757;e;309;e;8333;e;2945;e;2015;e;5444;e;5375;e;438;e;1560;e;1285;e;808;e;2415;e;1007;e;951;e
;Verwitwet;Insgesamt;619652;e;21987;e;11350;e;62991;e;4736;e;138691;e;44673;e;32080;e;78413;e;88049;e;8659;e;20334;e;20040;e;13077;e;37761;e;19419;e;17391;e
;;Männlich;117960;e;4126;e;2018;e;11769;e;785;e;26141;e;8631;e;6182;e;15822;e;16848;e;1586;e;3752;e;3852;e;2492;e;7157;e;3505;e;3300;e
;;Weiblich;501689;e;17861;e;9330;e;51224;e;3948;e;112545;e;36045;e;25898;e;62594;e;71203;e;7069;e;16583;e;16188;e;10584;e;30603;e;15911;e;14092;e
;Geschieden;Insgesamt;35282;e;1358;e;1223;e;2947;e;367;e;6827;e;2386;e;1315;e;4056;e;4633;e;322;e;2662;e;1438;e;835;e;2649;e;1168;e;1088;e
;;Männlich;6132;e;267;e;194;e;570;e;65;e;1342;e;452;e;288;e;751;e;930;e;70;e;393;e;208;e;108;e;253;e;121;e;117;e
;;Weiblich;29152;e;1090;e;1033;e;2375;e;305;e;5487;e;1932;e;1025;e;3302;e;3705;e;250;e;2269;e;1229;e;729;e;2394;e;1049;e;973;e
;Eingetragene Lebenspartnerschaften;Insgesamt;85;e;3;e;3;e;5;e;-;;23;e;12;e;-;;11;e;17;e;3;e;5;e;3;e;-;;-;;-;;-;
;;Männlich;40;e;4;e;-;;3;e;3;e;11;e;9;e;-;;4;e;10;e;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;43;e;-;;3;e;-;;-;;11;e;-;;-;;6;e;8;e;3;e;5;e;3;e;-;;-;;-;;-;
;Eingetr. Lebenspartner/-in verstorben;Insgesamt;80;e;-;;4;e;5;e;-;;22;e;7;e;6;e;12;e;7;e;-;;5;e;3;e;-;;3;e;5;e;-;
;;Männlich;28;e;-;;-;;3;e;-;;14;e;4;e;-;;5;e;4;e;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;49;e;-;;4;e;-;;-;;12;e;6;e;3;e;5;e;5;e;-;;-;;3;e;-;;3;e;3;e;-;
;Eingetragene Lebenspartnerschaft aufgehoben;Insgesamt;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Männlich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;;Weiblich;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Ohne Angabe;Insgesamt;519;e;25;e;45;e;43;e;-;;141;e;92;e;39;e;32;e;26;e;16;e;15;e;3;e;5;e;16;e;9;e;10;e
;;Männlich;140;e;9;e;13;e;14;e;-;;32;e;28;e;11;e;6;e;8;e;6;e;4;e;-;;3;e;5;e;-;;-;
;;Weiblich;382;e;17;e;34;e;28;e;-;;106;e;62;e;26;e;24;e;19;e;8;e;13;e;3;e;3;e;14;e;7;e;10;e
__________
© Statistische Ämter des Bundes und der Länder, Deutschland, 2025. Lizenziert unter der Datenlizenz Deutschland - Namensnennung - Version 2.0
Stand: 25.09.2025 / 15:07:48
